NIBRS Code Name,Longitude,Latitude
Shoplifting,-84.326653,33.747739
Aggravated Assault,-84.371061,33.772315
Motor Vehicle Theft,-84.36473,33.685814
Drug/Narcotic Violations,-84.396363,33.748519
Destruction/Damage/Vandalism of Property,-84.465294,33.704543
Burglary/Breaking & Entering,-84.35638,33.862908
Motor Vehicle Theft,-84.371864,33.752723
Shoplifting,-84.291531,33.747539
Impersonation,-84.350777,33.81734
Destruction/Damage/Vandalism of Property,-84.371864,33.752723
Impersonation,-84.382797,33.78359
Motor Vehicle Theft,-84.52379,33.717748
Motor Vehicle Theft,-84.394758,33.768363
Motor Vehicle Theft,-84.502145,33.746719
Burglary/Breaking & Entering,-84.379243,33.696065
Credit Card/Automated Teller Machine Fraud,-84.371869,33.841631
Motor Vehicle Theft,-84.462245,33.791555
Theft From Motor Vehicle,-84.384888,33.768789
False Pretenses/Swindle/Confidence Game,-84.408225,33.782234
All Other Larceny,-84.386028,33.780712
Credit Card/Automated Teller Machine Fraud,-84.322595,33.726394
Motor Vehicle Theft,-84.44543,33.761116
Motor Vehicle Theft,-84.40851,33.77873
Theft From Motor Vehicle,-84.439953,33.772288
Weapon Law Violations,-84.434289,33.799948
Motor Vehicle Theft,-84.329071,33.756639
Motor Vehicle Theft,-84.361695,33.854905
Drug/Narcotic Violations,-84.434289,33.799948
Theft of Motor Vehicle Parts or Accessories,-84.409022,33.682739
Destruction/Damage/Vandalism of Property,-84.364258,33.775952
Theft From Building,-84.493905,33.753318
Motor Vehicle Theft,-84.433254,33.72308
Theft From Motor Vehicle,-84.38876,33.753113
Theft From Motor Vehicle,-84.412367,33.726215
All Other Larceny,-84.509084,33.65687
Theft From Motor Vehicle,-84.374017,33.838306
Burglary/Breaking & Entering,-84.367973,33.773925
Motor Vehicle Theft,-84.389948,33.669825
Aggravated Assault,-84.476525,33.752735
Burglary/Breaking & Entering,-84.402472,33.753568
Theft From Building,-84.419234,33.732445
Motor Vehicle Theft,-84.435514,33.751418
Motor Vehicle Theft,-84.448673,33.721075
Motor Vehicle Theft,-84.369336,33.741327
Motor Vehicle Theft,-84.520912,33.696301
Motor Vehicle Theft,-84.438875,33.751027
Destruction/Damage/Vandalism of Property,-84.359112,33.75978
Drug/Narcotic Violations,-84.471026,33.805485
Theft From Building,-84.427012,33.800772
Simple Assault,-84.374292,33.837465
Motor Vehicle Theft,-84.434063,33.809882
All Other Larceny,-84.451138,33.756325
Impersonation,-84.50239,33.745034
Destruction/Damage/Vandalism of Property,-84.365375,33.852883
False Pretenses/Swindle/Confidence Game,-84.367053,33.848578
All Other Larceny,-84.444368,33.640311
Drug/Narcotic Violations,-84.389948,33.669825
Burglary/Breaking & Entering,-84.400171,33.811262
Destruction/Damage/Vandalism of Property,-84.44453,33.637998
Simple Assault,-84.379292,33.843656
Destruction/Damage/Vandalism of Property,-84.386506,33.759417
Counterfeiting/Forgery,-84.378964,33.747121
Identity Theft,-84.42682,33.762075
All Other Larceny,-84.381768,33.701251
False Pretenses/Swindle/Confidence Game,-84.401313,33.749615
Motor Vehicle Theft,-84.376953,33.753521
Counterfeiting/Forgery,-84.430916,33.805423
Destruction/Damage/Vandalism of Property,-84.376953,33.753521
Theft From Motor Vehicle,-84.514177,33.669567
All Other Larceny,-84.355173,33.746784
Theft From Motor Vehicle,-84.390773,33.812456
Murder & Nonnegligent Manslaughter,-84.401195,33.752625
Motor Vehicle Theft,-84.371238,33.800191
Theft From Motor Vehicle,-84.414009,33.732517
Theft From Motor Vehicle,-84.452317,33.866058
